"sample.name","sample.date","type","dilution","conc","OD"
NA,NA,"standard",NA,5,NA
NA,NA,"standard",NA,2.5,1.855
NA,NA,"standard",NA,1.25,1.009
NA,NA,"standard",NA,0.625,0.477
NA,NA,"standard",NA,0.313,0.3
NA,NA,"standard",NA,0.156,0.163
NA,NA,"standard",NA,0.078,0.107
NA,NA,"NC",NA,NA,0.04
NA,NA,"standard",NA,5,3.286
NA,NA,"standard",NA,2.5,1.83
NA,NA,"standard",NA,1.25,0.943
NA,NA,"standard",NA,0.625,0.482
NA,NA,"standard",NA,0.313,0.261
NA,NA,"standard",NA,0.156,0.157
NA,NA,"standard",NA,0.078,0.104
NA,NA,"NC",NA,NA,0.039
74,NA,"sample",2,NA,1.578
80,NA,"sample",2,NA,0.07
81,NA,"sample",2,NA,0.444
90,NA,"sample",2,NA,0.074
91,NA,"sample",2,NA,0.064
92,NA,"sample",2,NA,0.065
93,NA,"sample",2,NA,0.098
94,NA,"sample",2,NA,0.15
95,NA,"sample",2,NA,0.073
96,NA,"sample",2,NA,0.312
97,NA,"sample",2,NA,0.467
98,NA,"sample",2,NA,0.057
99,NA,"sample",2,NA,0.115
100,NA,"sample",2,NA,0.06
101,NA,"sample",2,NA,0.059
102,NA,"sample",2,NA,0.074
103,NA,"sample",2,NA,1.85
104,NA,"sample",2,NA,0.073
105,NA,"sample",2,NA,0.07
106,NA,"sample",2,NA,0.305
107,NA,"sample",2,NA,0.06
108,NA,"sample",2,NA,0.073
109,NA,"sample",2,NA,0.09
110,NA,"sample",2,NA,1.297
111,NA,"sample",2,NA,0.099
112,NA,"sample",2,NA,0.073
113,NA,"sample",2,NA,0.117
114,NA,"sample",2,NA,0.06
115,NA,"sample",2,NA,0.104
116,NA,"sample",2,NA,0.068
117,NA,"sample",2,NA,0.125
118,NA,"sample",2,NA,0.101
119,NA,"sample",2,NA,0.088
120,NA,"sample",2,NA,0.058
121,NA,"sample",2,NA,0.124
122,NA,"sample",2,NA,0.106
123,NA,"sample",2,NA,0.09
124,NA,"sample",2,NA,0.089
125,NA,"sample",2,NA,0.481
126,NA,"sample",2,NA,0.071
127,NA,"sample",2,NA,0.066
128,NA,"sample",2,NA,0.076
129,NA,"sample",2,NA,0.242
130,NA,"sample",2,NA,0.052
131,NA,"sample",2,NA,0.075
132,NA,"sample",2,NA,0.075
133,NA,"sample",2,NA,0.063
134,NA,"sample",2,NA,0.057
135,NA,"sample",2,NA,0.068
136,NA,"sample",2,NA,0.087
137,NA,"sample",2,NA,0.089
138,NA,"sample",2,NA,0.078
139,NA,"sample",2,NA,0.096
140,NA,"sample",2,NA,0.071
141,NA,"sample",2,NA,0.105
142,NA,"sample",2,NA,0.058
143,NA,"sample",2,NA,0.094
144,NA,"sample",2,NA,0.054
145,NA,"sample",2,NA,0.094
146,NA,"sample",2,NA,0.069
147,NA,"sample",2,NA,0.067
148,NA,"sample",2,NA,0.072
149,NA,"sample",2,NA,2.119
150,NA,"sample",2,NA,0.128
151,NA,"sample",2,NA,0.063
152,NA,"sample",2,NA,0.1
153,NA,"sample",2,NA,0.074
154,NA,"sample",2,NA,0.073
155,NA,"sample",2,NA,0.07
156,NA,"sample",2,NA,0.073
157,NA,"sample",2,NA,0.072
158,NA,"sample",2,NA,0.073
159,NA,"sample",2,NA,0.07
160,NA,"sample",2,NA,0.528
161,NA,"sample",2,NA,3.5
162,NA,"sample",2,NA,0.092
163,NA,"sample",2,NA,0.172
164,NA,"sample",2,NA,0.062
165,NA,"sample",2,NA,0.193
NA,NA,"NC",NA,NA,0.041
