sample.name;sample.date;type;dilution;conc;OD
;NA;standard;NA;2;0,652199984
;NA;standard;NA;1;0,383599997
;NA;standard;NA;0,5;0,246700004
;NA;standard;NA;0,25;0,169400007
;NA;standard;NA;0,125;0,1241
;NA;standard;NA;0,063;0,101899996
;NA;standard;NA;0,031;0,086999997
;NA;NC;NA;NA;0,078400001
;NA;standard;NA;2;0,640399992
;NA;standard;NA;1;0,389600009
;NA;standard;NA;0,5;0,252299994
;NA;standard;NA;0,25;0,1752
;NA;standard;NA;0,125;0,128199995
;NA;standard;NA;0,063;0,1039
;NA;standard;NA;0,031;0,090099998
;NA;NC;NA;NA;0,075300001
T1;NA;sample;5;NA;0,223000005
T2;NA;sample;5;NA;0,178000003
T3;NA;sample;5;NA;0,2324
T4;NA;sample;5;NA;0,208700001
T1;NA;sample;10;NA;0,145999998
T2;NA;sample;10;NA;0,131200001
T3;NA;sample;10;NA;0,161500007
T4;NA;sample;10;NA;0,145500004
T1;NA;sample;5;NA;0,232199997
T2;NA;sample;5;NA;0,185399994
T3;NA;sample;5;NA;0,234599993
T4;NA;sample;5;NA;0,220699996
T1;NA;sample;10;NA;0,147799999
T2;NA;sample;10;NA;0,134299994
T3;NA;sample;10;NA;0,159899995
T4;NA;sample;10;NA;0,146300003
T1;NA;sample;5;NA;0,235300004
T2;NA;sample;5;NA;0,185000002
T3;NA;sample;5;NA;0,237599999
T4;NA;sample;5;NA;0,217500001
T1;NA;sample;10;NA;0,156399995
T2;NA;sample;10;NA;0,133699998
T3;NA;sample;10;NA;0,165399998
T4;NA;sample;10;NA;0,150800005
